person,cand_row,book,juan,sentence,source_file,alias_in_sentence
刘巴,24,三國志,第九章:董刘马陈董吕传,先主称尊号，以良为侍中。,data/raw/mirror/三國志/蜀书/第九章-董刘马陈董吕传.txt,
陈震,27,三國志,第九章:董刘马陈董吕传,“亮寻请祎为参军，允迁为侍中，领虎贲中郎将，统宿卫亲兵。,data/raw/mirror/三國志/蜀书/第九章-董刘马陈董吕传.txt,
陈震,753,三國志,39,」亮尋請禕為參軍，允遷為侍中，領虎賁中郎將，統宿衛親兵。,data/raw/三國志/卷39.txt,
张飞,38,三國志,第六章:关张马黄赵传,弱冠为侍中、中监军，数岁卒。,data/raw/mirror/三國志/蜀书/第六章-关张马黄赵传.txt,
黄权,40,三國志,第十三章:黄李吕马王张传,且败军之将，免死为幸，何古人之可慕也”文帝善之，拜为镇南将军，封育阳侯，加侍中，使之陪乘。,data/raw/mirror/三國志/蜀书/第十三章-黄李吕马王张传.txt,
李恢,40,三國志,第十三章:黄李吕马王张传,且败军之将，免死为幸，何古人之可慕也”文帝善之，拜为镇南将军，封育阳侯，加侍中，使之陪乘。,data/raw/mirror/三國志/蜀书/第十三章-黄李吕马王张传.txt,
张翼,42,三國志,第十五章:邓张宗杨传,迁为侍中，徙尚书。,data/raw/mirror/三國志/蜀书/第十五章-邓张宗杨传.txt,
徐幹,52,三國志,第二十一章:王卫二刘傅传,魏国既建，拜侍中。,data/raw/mirror/三國志/魏书/第二十一章-王卫二刘傅传.txt,
卫觊,54,三國志,第二十一章:王卫二刘傅传,魏国既建，拜侍中，与王粲并典制度。,data/raw/mirror/三國志/魏书/第二十一章-王卫二刘傅传.txt,
刘劭,55,三國志,第二十一章:王卫二刘傅传,文帝即王位，为侍中，赐爵关内侯。,data/raw/mirror/三國志/魏书/第二十一章-王卫二刘傅传.txt,
刘劭,695,三國志,21,文帝即王位，爲侍中，賜爵關內侯。,data/raw/三國志/卷21.txt,
杜袭,59,三國志,第二十三章:和常杨杜赵裴传,魏国既建，为侍中，与王粲、和洽并用。,data/raw/mirror/三國志/魏书/第二十三章-和常杨杜赵裴传.txt,
周宣,61,三國志,第二十九章:方技传,璩六十一为侍中，直省内，欻见白狗，问之众人，悉无见者。,data/raw/mirror/三國志/魏书/第二十九章-方技传.txt,
周宣,734,三國志,29,璩六十一為侍中，直省內，欻見白狗，問之眾人，悉無見者。,data/raw/三國志/卷29.txt,
桓阶,63,三國志,第二十二章:桓二陈徐卫卢传,文帝践阼，迁尚书令，封高乡亭侯，加侍中。,data/raw/mirror/三國志/魏书/第二十二章-桓二陈徐卫卢传.txt,
陈矫,66,三國志,第二十二章:桓二陈徐卫卢传,后徵泰为尚书右仆射，典选举，加侍中光禄大夫。,data/raw/mirror/三國志/魏书/第二十二章-桓二陈徐卫卢传.txt,
陈矫,67,三國志,第二十二章:桓二陈徐卫卢传,加侍中光禄大夫，迁司徒。,data/raw/mirror/三國志/魏书/第二十二章-桓二陈徐卫卢传.txt,
卫臻,68,三國志,第二十二章:桓二陈徐卫卢传,“帝遂以宣为左仆射，后加侍中光禄大夫。,data/raw/mirror/三國志/魏书/第二十二章-桓二陈徐卫卢传.txt,
卫臻,70,三國志,第二十二章:桓二陈徐卫卢传,明帝即位，进封康乡侯，后转为右仆射，典选举，如前加侍中。,data/raw/mirror/三國志/魏书/第二十二章-桓二陈徐卫卢传.txt,
卫臻,709,三國志,22,明帝即位，进封康鄉侯，後转爲右仆射，典選舉，如前加侍中。,data/raw/三國志/卷22.txt,
元常,86,三國志,第十三章:钟繇华歆王朗传,拜御史中丞，迁侍中尚书仆射，并录前功封东武亭侯。,data/raw/mirror/三國志/魏书/第十三章-钟繇华歆王朗传.txt,
元常,87,三國志,第十三章:钟繇华歆王朗传,乃表繇以侍中守司隶校尉，持节督关中诸军，委之以后事，特使不拘科制。,data/raw/mirror/三國志/魏书/第十三章-钟繇华歆王朗传.txt,
华歆,88,三國志,第十三章:钟繇华歆王朗传,后以失爽意，徙侍中，出为魏郡太守。,data/raw/mirror/三國志/魏书/第十三章-钟繇华歆王朗传.txt,
