name_simple,status,in_db,in_card,person_id,dynasty_db,hits,strong,sample_book,sample_juan,sample_sentence,all_books
受害節,拟补_待审,N,N,,,5,0,全后汉文,卷六十一.txt,今曹節等放縱爲害，而久在左右，又公兄侍中受害節等，永樂太-{后}-所親知也。,全后汉文;后汉书
史中丞,拟补_待审,N,N,,,5,0,三国志,卷13.txt,爽旣誅，入爲御史中丞、侍中廷尉。,三国志
后加,拟补_待审,N,N,,,5,0,三国志,卷22.txt,}}帝遂以宣爲左仆射，後加侍中灌禄大夫。,三国志
后爲,拟补_待审,N,N,,,5,0,全后汉文,卷五十九.txt,後爲侍中，守光祿大夫，遷河南太守，徵爲大鴻臚。,三国志;全后汉文
周廣,拟补_待审,N,N,,,5,5,后汉书,卷10下.txt,」）侍中周廣、阿母野王君王聖、聖女永、永壻黃門侍郎樊嚴等，更相阿黨，互作威福，探刺禁省，更爲唱和，皆大不道。,后汉书
复入为,拟补_待审,N,N,,,5,0,后汉书,第四十七章-杨震列传.txt,帝崩后，复入为侍中卫尉，从献帝西迁，有功勤。,后汉书
奏陛下,拟补_待审,N,N,,,5,0,全汉文,卷四十五.txt,語不可露，願具書所言，因侍中奏陛下，㠯示腹心大臣。,全汉文;汉书
姚恂免,拟补_待审,N,N,,,5,0,汉书,卷099中.txt,寧始將軍姚恂免，侍中崇祿侯孔永為寧始將軍。,汉书
封舅曼,拟补_待审,N,N,,,5,0,汉书,卷010.txt,五月，封舅曼子侍中騎都尉光祿大夫王莽爲新都侯。,前汉纪;汉书
尉马廖,拟补_待审,N,N,,,5,0,后汉书,卷39.txt,於是京師貴戚衛尉馬廖、侍中竇憲慕其行，各奉書致禮，革無所報受。,后汉书;后汉纪
引外属,拟补_待审,N,N,,,5,0,汉书,卷078.txt,」及宣帝寢疾，選大臣可屬者，引外屬侍中樂陵侯史高、太子太傅望之、少傅周堪至禁中，拜高為大司馬車騎將軍，望之為前將軍光祿勳，堪為光祿大夫，皆受遺詔輔政，領尚書事。,前汉纪;汉书
惠时郎,拟补_待审,N,N,,,5,0,史记,卷125.txt,故孝惠時郎侍中皆冠鵕䴊，貝帶，傅脂粉，化閎、籍之屬也。,史记
愷等上,拟补_待审,N,N,,,5,0,后汉书,卷92.txt,太尉愷等上侍中施延等議：「太初過天，日一度，弦望失正，月以晦見西方，食不與天相應；,全后汉文;后汉书
拜涉为,拟补_待审,N,N,,,5,0,汉书,第四十章-霍光金日磾传.txt,敞子涉本为左曹，上拜涉为侍中，使待幸绿车载送卫尉舍。,汉书
施延,已在库,Y,Y,P0097,东汉,5,5,后汉书,卷92.txt,太尉愷等上侍中施延等議：「太初過天，日一度，弦望失正，月以晦見西方，食不與天相應；,全后汉文;后汉书
林阿附,拟补_待审,N,N,,,5,0,后汉书,卷33.txt,在位四年，奏尚書張林阿附侍中竇憲，而素行臧穢，又上洛陽令楊光，憲之賓客，在官貪殘，並不宜處位。,后汉书
欲自刎,拟补_待审,N,N,,,5,0,汉书,卷099下.txt,中黃門各拔刃將忠等送廬，忠拔劍欲自刎，侍中王望傳言大司馬反，黃門持劍共格殺之。,汉书
歆门人,拟补_待审,N,N,,,5,0,汉书,卷099中.txt,尋隨方士入華山，歲餘捕得，辭連國師公歆子侍中東通靈將、五司大夫隆威侯棻，棻弟右曹長水校尉伐虜侯泳，大司空邑弟左闕將軍堂威侯奇，及歆門人侍中騎都尉丁隆等，牽引公卿黨親列侯以下，死者數百人。,汉书
永元中,拟补_待审,N,N,,,5,5,后汉书,卷15.txt,===來歷===歷字伯珍，少襲爵，以公主子，永元中為侍中，監羽林右騎。,后汉书
淳于长,已在库,Y,Y,P0129,西汉,5,2,汉书,卷097下.txt,太后姊子淳于長為侍中，數往來傳語，得太后指，上立封趙婕妤父臨為成陽侯。,汉书
王望传,拟补_待审,N,N,,,5,2,汉书,第七十七章-王莽传下.txt,中黄门各拔刃将忠等送庐，忠拔剑欲自刎，侍中王望传言大司马反，黄门持剑共格杀之。,汉书
王邑为,拟补_待审,N,N,,,5,0,汉书,卷086.txt,莽從弟成都侯王邑為侍中，矯稱太皇太后指白哀帝，為莽求特進給事中。,汉书
皇帝問,拟补_待审,N,N,,,5,0,全汉文,卷三十二.txt,爲書曰︰「皇帝問侍中君卿︰使中御府令高昌奉黃金千斤，賜君卿取十妻。,全汉文;前汉纪;汉书
至殿中,拟补_待审,N,N,,,5,0,汉书,卷092.txt,為京兆尹門下督，從至殿中，侍中諸侯貴人爭欲揖章，莫與京兆尹言者。,前汉纪;汉书
董允书,拟补_待审,N,N,,,5,2,三国志,第九章-董刘马陈董吕传.txt,诸葛亮与长史蒋琬、侍中董允书曰：“孝起前临至吴，为吾说正方腹中有鳞甲，乡党以为不可近。,三国志
都王邑,拟补_待审,N,N,,,5,0,汉书,卷086.txt,莽從弟成都侯王邑為侍中，矯稱太皇太后指白哀帝，為莽求特進給事中。,汉书
隗表为,拟补_待审,N,N,,,5,0,后汉书,卷35.txt,後將軍袁隗表為侍中，以父喪不行。,后汉书
一月为,拟补_待审,N,N,,,4,0,汉书,卷019.txt,|大司徒司直金欽為京兆尹，一月為侍中。,汉书
三人皆,拟补_待审,N,N,,,4,0,汉书,卷088.txt,時，光祿勳王龔以外屬內卿，與奉車都尉劉歆共校書，三人皆侍中。,汉书
上遣,拟补_待审,N,N,,,4,0,汉书,卷100上.txt,上遣侍中中郎將王舜馳傳代伯護單于，并奉璽書印綬，即拜伯為定襄太守。,汉书
不穷戴,拟补_待审,N,N,,,4,0,后汉书,卷79上.txt,故京师爲之语曰：“解經不穷戴侍中。,后汉书
中书令,拟补_待审,N,N,,,4,0,三国志,卷23.txt,次楷，字叔則，侍中中書令、光祿大夫、開府。,三国志
中书监,拟补_待审,N,N,,,4,0,三国志,卷21.txt,建安中，爲郡上計吏，特拜郎中，稍遷侍中中書監，以光祿大夫遜位，年七十五卒於家。,三国志
为天子,拟补_待审,N,N,,,4,0,史记,卷111.txt,是歲也，大將軍姊子霍去病年十八，幸，為天子侍中。,史记
九男皆,拟补_待审,N,N,,,4,0,汉书,第五十四章-王商史丹傅喜传.txt,有子男女二十人，九男皆以丹任并为侍中、诸曹，亲近在左右。,汉书
二年为,拟补_待审,N,N,,,4,0,汉书,卷019.txt,詹事許商為少府，二年為侍中光祿大夫。,汉书
仆光禄,拟补_待审,N,N,,,4,0,全后汉文,卷一百六.txt,（注：下缺）汉□□□之□□王舅，是时宠特进朝侯大仆光禄侍中监营持节□□□功充列王室，遇谤于吕，委位捐尔，调官近（注：《隶释》作「沛」）土。,全后汉文
从故,拟补_待审,N,N,,,4,0,全后汉文,卷八十七.txt,（注：案︰舊本《呂氏春秋序》題河東高誘撰，據《淮南子序》云「自誘之少，從故侍中同縣盧君受其句讀」，謂盧子榦也。,全后汉文
令尹勋,拟补_待审,N,N,,,4,0,后汉书,卷8.txt,九月丁亥，中常侍曹節矯詔誅太傅陳蕃、大將軍竇武及尚書令尹勳、侍中劉瑜、屯騎校尉馮述，皆夷其族。,后汉书
令樊建,拟补_待审,N,N,,,4,0,三国志,卷33.txt,尚書令樊建、侍中張紹、光祿大夫譙周、秘書令卻正、殿中督張通並封列侯。,三国志
令裴秀,拟补_待审,N,N,,,4,0,三国志,卷48.txt,」旣至，車騎將軍賈充、尚書令裴秀、侍中荀勗等欲傲以所不知而不能屈。,三国志
任并为,拟补_待审,N,N,,,4,0,汉书,第五十四章-王商史丹傅喜传.txt,有子男女二十人，九男皆以丹任并为侍中、诸曹，亲近在左右。,汉书
元舅,拟补_待审,N,N,,,4,0,汉书,卷010.txt,以元舅侍中衞尉陽平侯王鳳爲大司馬大將軍，領尚書事。,汉书
充迁,拟补_待审,N,N,,,4,0,后汉书,第七十八章:独行列传,充迁侍中。,后汉书
军伏完,拟补_待审,N,N,,,4,0,后汉书,卷72.txt,封衞將軍董承、輔國將軍伏完、侍中丁沖、种輯、尚書僕射鍾繇、尚書郭溥、御史中丞董芬、彭城相劉艾、馮翊韓斌、東郡太守楊衆、議郎羅邵、伏德、趙蕤為列侯，賞有功也。,后汉书;后汉纪
刘瑜为,拟补_待审,N,N,,,4,0,后汉书,卷69.txt,武於是引同志尹勳為尚書令，劉瑜為侍中，馮述為屯騎校尉；,后汉书
史子弟,拟补_待审,N,N,,,4,0,汉书,卷036.txt,時恭、顯、許、史子弟侍中諸曹，皆側目於望之等，更生懼焉，乃使其外親上變事，言：竊聞故前將軍蕭望之等，皆忠正無私，欲致大治，忤於貴戚尚書。,汉书
史高,已在库,Y,Y,P0052,西汉,4,4,全汉文,卷五.txt,侍中史高與金安上建發其事，言無入霍氏禁闥，卒不得遂其謀，皆讎有功。,全汉文;汉书
