name_simple,in_db,card,approx_in_db,hit_count,explicit_count,dynasty_db,person_id,sample_book,sample_juan,sample_sentence,phase,kinds
灵帝时,N,N,,2,2,,,后汉书,卷54,牧孫奇牧孫奇，靈帝時為侍中，帝嘗從容問奇曰：「朕何如桓帝？,donghan_late,人物
父任,N,N,,2,2,,,汉书,卷071,少時，耆酒多過失，年且三十，乃折節修行，以父任為侍中中郎將、長水校尉。,xihan_addition,人物
璩六十一,N,N,,2,2,,,三国志,卷29,璩六十一為侍中，直省內，欻見白狗，問之眾人，悉無見者。,hanwei,人物
相知,N,N,,2,2,,,全汉文,卷十三,）與侍中從弟安國書臧報侍中相知，忿俗儒淫辭冒義，有意欲校亂反正，由來久矣。,donghan_bureau,人物
私出,N,N,,2,2,,,汉书,卷077,-{豐}-案劾章，欲奏其事，適逢許侍中私出，-{豐}-駐車舉節詔章曰：「下！,xihan_addition,人物
舍人,N,N,,2,2,,,全后汉文,卷三十四,）漢因秦置侍中舍人。,donghan_bureau,人物
賓客益衰,N,N,,2,2,,,史记,卷107,」灌夫家居雖富，然失勢，卿相侍中賓客益衰。,xihan_addition,人物
车骑,N,N,,2,2,,,三国志,卷04,其以壹為侍中車騎將軍、假節、交州牧、吳侯，開府辟召儀同三司，依古侯伯八命之禮，衮冕赤舄，事從豐厚。,hanwei,人物
迎荐,N,N,,2,2,,,后汉书,卷62,進恐其不至，迎薦為侍中，及進敗而詔命中絕。,xihan_addition,人物
近侍,N,N,,2,2,,,全后汉文,卷八,）報楊定請侍中尹忠爲長史詔（注：八月）侍中近侍，就非其宜，必爲關東所笑。,donghan_bureau,人物
近臣,N,N,,2,2,,,三国志,卷03,」每朝宴會同，與侍中近臣並列帷幄。,hanwei,制度+人物
迺存,N,N,,2,2,,,全后汉文,卷三十四,}}桓帝時，侍中迺存，（注：《蓺文類聚》作「刁存」，《野客叢書》二十五作「刁協」。,donghan_late,人物
郭攸,N,Y,郭攸之,2,2,,,三国志,卷39,上疏曰：「侍中郭攸之、費禕、侍郎董允等，先帝簡拔以遺陛下，至於斟酌規益，進盡忠言，則其任也。,hanwei,人物
都王邑,N,N,王邑,2,2,,,汉书,卷086,莽從弟成都侯王邑為侍中，矯稱太皇太后指白哀帝，為莽求特進給事中。,chengai_mingjing,人物
长君弟青,N,N,,2,2,,,史记,卷049,召其兄衛長君弟青為侍中。,xihan_addition,人物
阳平王凤,N,N,王凤,2,2,,,汉书,卷019,」）||||陽平侯王鳳為侍中衞尉，三年遷。,xihan_addition,人物
音獨側聽,N,N,,2,2,,,全汉文,卷四十三,時太后從子侍中音獨側聽，具知章言㠯語鳳。,donghan_bureau,人物
建章监,N,N,,3,1,,,全汉文,卷二十八,爲侍中建章監，拜騎都尉。,donghan_bureau,人物
祭酒乐松,N,N,乐松,3,1,,,后汉书,卷60下,」侍中祭酒樂松、賈護，多引無行趣埶之徒，並待制鴻都門下，憙陳方俗閭里小事，帝甚悅之，待以不次之位。,xihan_addition,人物
刘晔对,N,N,刘晔,2,1,,,三国志,卷12,』侍中劉晔對曰：『獵勝於樂。,hanwei,人物
坐帷内,N,N,,2,1,,,后汉书,卷11,羣臣欲言事，輒醉不能見，時不得已，乃令侍中坐帷內與語。,xihan_addition,人物
太仆,N,N,,2,1,,,全汉文,卷六十,綏和初爲侍中太僕，位特進，㠯病免。,donghan_bureau,人物
止传舍者,N,N,,2,1,,,后汉书,卷29,時，有矯稱侍中止傳舍者，興欲謁之。,xihan_addition,人物
比求实,N,N,,2,1,,,三国志,卷23,和侍中比求實之，所以不聽，欲重參之耳。,hanwei,人物
王望传,N,N,王望,2,1,,,汉书,卷099下,中黃門各拔刃將忠等送廬，忠拔劍欲自刎，侍中王望傳言大司馬反，黃門持劍共格殺之。,xihan_addition,人物
董允书,N,N,董允,2,1,,,三国志,卷39,諸葛亮與長史蔣琬、侍中董允書曰：「孝起前臨至吳，為吾說正方腹中有鱗甲，鄉黨以為不可近。,hanwei,人物
贾逵因,N,N,贾逵,2,1,,,后汉书,卷39,積十餘歲，至永元十年，有司復奏之，侍中賈逵因上書曰：「孔子稱『能以禮讓為國，於從政乎何有』。,xihan_addition,人物
一月,N,N,,1,1,,,汉书,卷019,|大司徒司直金欽為京兆尹，一月為侍中。,xihan_addition,人物
丁沖,N,N,,1,1,,,后汉书,卷72,封衞將軍董承、輔國將軍伏完、侍中丁沖、种輯、尚書僕射鍾繇、尚書郭溥、御史中丞董芬、彭城相劉艾、馮翊韓斌、東郡太守楊衆、議郎羅邵、伏德、趙蕤為列侯，賞有功也。,xihan_addition,人物
丁鴻,N,N,,1,1,,,全后汉文,卷三十一,侍中丁鴻，仁而有讓，達于從政；,donghan_bureau,人物
上拜涉,N,N,,1,1,,,汉书,第四十章-霍光金日磾传,敞子涉本为左曹，上拜涉为侍中，使待幸绿车载送卫尉舍。,xihan_addition,人物
与李陵俱,N,N,李陵,1,1,,,汉书,第二十四章-李广苏建传,初，武与李陵俱为侍中，武使匈奴明年，陵降，不敢求武。,xihan_addition,人物
东通灵将,N,N,,1,1,,,汉书,第七十六章-王莽传中,寻随方士入华山，岁余捕得，辞连国师公歆子侍中东通灵将、五司大夫隆威侯棻，棻弟右曹长水校尉伐虏侯泳，大司空邑弟左关将军掌威侯奇，及歆门人侍中骑都尉丁隆等，牵引公卿党亲列侯以下，死者数百人。,xihan_addition,人物
並皆年少,N,N,,1,1,,,后汉书,卷63,一日朝會，見諸侍中並皆年少，無一宿儒大人可顧問者，誠可歎息。,xihan_addition,制度+人物
中书监,N,N,,1,1,,,三国志,卷21,建安中，爲郡上計吏，特拜郎中，稍遷侍中中書監，以光祿大夫遜位，年七十五卒於家。,hanwei,人物
九男皆,N,N,,1,1,,,汉书,第五十四章-王商史丹傅喜传,有子男女二十人，九男皆以丹任并为侍中、诸曹，亲近在左右。,xihan_addition,人物
二年,N,N,,1,1,,,汉书,卷019,詹事許商為少府，二年為侍中光祿大夫。,donghan_bureau,制度+人物
伍瓊,N,N,,1,1,,,后汉书,卷70,公業等與侍中伍瓊、卓長史何顒共說卓，以袁紹爲勃海太守，以發山東之謀。,xihan_addition,人物
侍郎,N,N,,1,1,,,后汉书,卷116,改給事黃門侍郎為侍中侍郎，去給事黃門之號，旋復復故。,xihan_addition,制度+人物
傅俊迎后,N,N,傅俊,1,1,,,后汉书,第十一章-皇后纪上,光武即位，令侍中傅俊迎后，与胡阳、宁平主诸宫人俱到洛阳，以后为贵人。,donghan_bureau,人物
傅巽掐则,N,N,傅巽,1,1,,,三国志,卷16,侍中傅巽掐则曰：“不谓卿也。,hanwei,人物
傅巽目,N,N,傅巽,1,1,,,三国志,卷16,侍中傅巽目之，乃悟。,hanwei,人物
儵按,N,N,,1,1,,,后汉书,卷56,一八三四頁五行合兄侍中儵按：殿本「儵」作「鯈」。,xihan_addition,人物
光禄勋,N,N,,1,1,,,汉书,卷019,衞尉王能為侍中光祿勳，二年貶為弘農，坐呂寬自殺。,xihan_addition,人物
兼領,N,N,,1,1,,,后汉书,卷79上,”帝即敕尚書解遵禁锢，拜憑虎贲中郎将，以侍中兼領之。,xihan_addition,人物
