person,book,juan,sentence,source_file,title_persons
窦何,後漢書,第六十三章-窦何列传,光和三年，贵人立为皇后，征进入，拜侍中、将作大匠、河南尹。,data/raw/mirror/後漢書/列传/第六十三章-窦何列传.txt,窦何
袁绍,後漢書,第六十九章-袁绍刘表列传下,至许，果拜嵩侍中、零陵太守。,data/raw/mirror/後漢書/列传/第六十九章-袁绍刘表列传下.txt,袁绍
袁绍,後漢書,第六十九章-袁绍刘表列传下,初，表之结袁绍也，侍中从事邓义谏不听。,data/raw/mirror/後漢書/列传/第六十九章-袁绍刘表列传下.txt,袁绍
袁绍,後漢書,第六十九章-袁绍刘表列传下,义以疾退，终表世不仕，操以为侍中，其余多至大官。,data/raw/mirror/後漢書/列传/第六十九章-袁绍刘表列传下.txt,袁绍
袁绍,後漢書,第六十八章-袁绍刘表列传上,时，侍中周BC60、城门校尉伍琼为卓所信待，琼等阴为绍说卓曰：“夫废立大事，非常人所及。,data/raw/mirror/後漢書/列传/第六十八章-袁绍刘表列传上.txt,袁绍
董卓,後漢書,第六十六章-董卓列传,乃任吏部尚书汉阳周BC60、侍中汝南伍琼、尚书郑公业、长史何颙等。,data/raw/mirror/後漢書/列传/第六十六章-董卓列传.txt,董卓
董卓,後漢書,第六十六章-董卓列传,以尚书韩馥为冀州刺史，侍中刘岱为兗州刺史，陈留孔亻由为豫州刺史，颍川张咨为南阳太守。,data/raw/mirror/後漢書/列传/第六十六章-董卓列传.txt,董卓
董卓,後漢書,第六十六章-董卓列传,以弟B857为左将军，封鄠侯，兄子璜为侍中、中军校尉，皆典兵事。,data/raw/mirror/後漢書/列传/第六十六章-董卓列传.txt,董卓
董卓,後漢書,第六十六章-董卓列传,时腾私有求于C765，不获而怒，遂与侍中马宇、右中郎将刘范、前凉州刺史种劭、中郎将杜禀合兵攻C765，连日不决。,data/raw/mirror/後漢書/列传/第六十六章-董卓列传.txt,董卓
董卓,後漢書,第六十六章-董卓列传,既知不实，使侍中刘艾出让有司。,data/raw/mirror/後漢書/列传/第六十六章-董卓列传.txt,董卓
郑孔,後漢書,第六十四章-郑孔荀列传,公业等与侍中伍琼、卓长史何颙共说卓，以袁绍为勃海太守，以发山东之谋。,data/raw/mirror/後漢書/列传/第六十四章-郑孔荀列传.txt,郑孔
郑孔,後漢書,第六十四章-郑孔荀列传,七世祖霸，为元帝师，位至侍中。,data/raw/mirror/後漢書/列传/第六十四章-郑孔荀列传.txt,郑孔
郑孔,後漢書,第六十四章-郑孔荀列传,及帝都许，以彧为侍中，守尚书令。,data/raw/mirror/後漢書/列传/第六十四章-郑孔荀列传.txt,郑孔
郑孔,後漢書,第六十四章-郑孔荀列传,使持节侍中守尚书令万岁亭侯彧，国之重臣，德洽华夏，既停军所次，便宜与臣俱进，宣示国命，威怀丑虏。,data/raw/mirror/後漢書/列传/第六十四章-郑孔荀列传.txt,郑孔
