cand_row,book,juan,sentence,person,status,note
1626,漢書,071,少時，耆酒多過失，年且三十，乃折節修行，以父任為侍中中郎將、長水校尉。,,待审,
1630,漢書,075,時，平昌侯王臨以宣布外屬侍中，稱詔欲從奉學其術。,,待审,
1641,漢書,077,會日暮追及，收縛冠奴，奴曰：「我非侍中，奴耳。,,待审,
1649,漢書,081,光與大司空師丹奏言：「詔書『侍中、駙馬都尉遷巧佞無義，漏洩不忠，國之賊也，免歸故郡。,,待审,
1650,漢書,081,」卒不得遣，復為侍中。,,待审,
1651,漢書,081,上乃知光前免非其罪，以過近臣毀短光者，復免傅嘉，曰：「前為侍中，毀譖仁賢，誣訴大臣，令俊艾者久失其位。,,待审,
1652,漢書,082,繇是擢爲諸曹、侍中、中郎將。,,待审,
1654,漢書,082,而商子弟親屬爲駙馬都尉、侍中、中常侍、諸曹大夫郎吏者，皆出補吏，莫得留給事宿衛者。,,待审,
1655,漢書,082,高侍中，貴幸，以發舉反者大司馬霍禹功封樂陵侯。,,待审,
1656,漢書,082,元帝即位，爲駙馬都尉侍中，出常驂乘，甚有寵。,,待审,
1657,漢書,082,是時，太子長舅陽平侯王鳳爲衛尉、侍中，與皇后、太子皆憂，不知所出。,,待审,
1658,漢書,082,有子男女二十人，九男皆以丹任並爲侍中、諸曹，親近在左右。,,待审,
1666,漢書,086,數月，復以光祿大夫給事中，由是為少府、光祿勳、侍中，甚見尊重。,,待审,
1668,漢書,088,待詔黃門數入說教侍中，以召賀。,,待审,
1669,漢書,088,元帝即位，地餘侍中，貴幸，至少府。,,待审,
1678,漢書,093,天子召見，欲以爲侍中，逡請間言事。,,待审,
1679,漢書,093,帝嘉長義，拜爲列校尉諸曹，遷水衡都尉侍中，至衛尉九卿。,,待审,
1681,漢書,093,初，長爲侍中，奉兩宮使，親密。,,待审,
1682,漢書,093,賢寵愛日甚，爲駙馬都尉侍中，出則參乘，入御左右，旬月間賞賜累巨萬，貴震朝廷。,,待审,
1685,漢書,093,是時，成帝外家王氏衰廢，唯平阿侯譚子去疾，哀帝爲太子時爲庶子得幸，及即位，爲侍中、騎都尉。,,待审,
1686,漢書,093,後上置酒麒麟殿，賢父子親屬宴飲，王閎兄弟侍中、中常侍皆在側。,,待审,
1688,漢書,095,左將軍素侍中，幸，將燕，代卒，悍，乘勝，軍多驕。,,待审,
1691,漢書,097上,上以為忠，由是親近，為侍中，稍遷至太僕。,,待审,
1696,漢書,098,長子鳳嗣侯，為衛尉侍中，皇-{后}-自有子後，希復進見。,,待审,
1698,漢書,098,」以參為侍中水衡都尉。,,待审,
1699,漢書,098,王氏子弟皆卿、大夫、侍中、諸曹，分據勢官滿朝廷。,,待审,
1703,漢書,098,先是，定陵侯淳于長以外屬能謀議，為衛尉侍中，在輔政之次。,,待审,
1706,漢書,098,及根兄子成都侯況幸得以外親繼父為列侯侍中，不思報厚恩，亦聘取故掖庭貴人以為妻，皆無人臣禮，大不敬不道。,,待审,
1708,漢書,099上,遷騎都尉光祿大夫侍中，宿衛謹敕，爵位益尊，節操愈謙。,,待审,
1709,漢書,099上,莽以大司徒孔光名儒，相三主，太后所敬，天下信之，於是盛尊事光，引光女婿甄邯為侍中奉車都尉。,,待审,
1711,漢書,099上,及為侍中，故定陵侯淳于長有大逆罪，公不敢私，建白誅討。,,待审,
1714,漢書,099下,莽以王況讖言荊楚當興，李氏為輔，欲厭之，乃拜侍中掌牧大夫李棽為大將軍、揚州牧，賜名聖，使將兵奮擊。,,待审,
1715,漢書,099下,因賜治廟者司徒、大司空錢各千萬，侍中、中常侍以下皆封。,,待审,
1717,漢書,099下,」伊休侯者，歆長子也，為侍中五官中郎將，莽素愛之。,,待审,
1720,漢書,099下,莽就車，之漸臺，欲阻池水，猶抱持符命、威斗，公卿大夫、侍中、黃門郎從官尚千餘人隨之。,,待审,
