person,cand_row,book,juan,sentence,source_file,alias_in_sentence
陈球,344,後漢書,第四十九章:张王种陈列传,及进败，献帝即位，拜劭为侍中。,data/raw/mirror/後漢書/列传/第四十九章-张王种陈列传.txt,
陈球,1285,後漢書,56,及進敗，獻帝即位，拜劭為侍中。,data/raw/後漢書/卷56.txt,
王歙,352,後漢書,第四章:宗室四王三侯列传,更始立，歙从入关，封为元氏王，终为侍中。,data/raw/mirror/後漢書/列传/第四章-宗室四王三侯列传.txt,
王歙,1150,後漢書,14,更始立，歙從入關，封為元氏王，終為侍中。,data/raw/後漢書/卷14.txt,
唐姬,370,後漢書,第十二章:皇后纪下,父完，沉深有大度，袭爵不其侯，尚桓帝女阳安公主，为侍中。,data/raw/mirror/後漢書/本纪/第十二章-皇后纪下.txt,
贾復,1162,後漢書,17,少為侍中、虎賁中郎將，朝廷多稱其能。,data/raw/後漢書/卷17.txt,
刘寬,1187,後漢書,25,遷侍中，賜衣一襲。,data/raw/後漢書/卷25.txt,
阴識,1205,後漢書,32,遷侍中，以母憂辭歸。,data/raw/後漢書/卷32.txt,
桓榮,1238,後漢書,37,一二五五頁一行以侍中監虎賁中郎將按：刊誤謂漢無監虎賁官，蓋是「兼」字，與丁鴻同也。,data/raw/後漢書/卷37.txt,
张酺,1256,後漢書,45,及肅宗即位，擢酺為侍中、虎賁中郎將。,data/raw/後漢書/卷45.txt,
桑弘羊,1298,後漢書,60下,桑弘羊，洛陽賈人也，以能心計為侍中。,data/raw/後漢書/卷60下.txt,
何進,1324,後漢書,69,【光和二年】，貴人立為皇后，徵進入，拜侍中、將作大匠、河南尹。,data/raw/後漢書/卷69.txt,
荀攸,1327,後漢書,70,及帝都許，以彧爲侍中，守尚書令。,data/raw/後漢書/卷70.txt,
朱儁,1331,後漢書,71,堅壽亦顯名，後為侍中，辭不拜，病卒。,data/raw/後漢書/卷71.txt,
张興,1352,後漢書,79上,帝善之，拜爲侍中，数进見問得失。,data/raw/後漢書/卷79上.txt,
钟興,1364,後漢書,79下,十八年，以病乞身，為侍中騎都尉，卒於官。,data/raw/後漢書/卷79下.txt,
钟興,1365,後漢書,79下,」十八年，拜侍中騎都尉。,data/raw/後漢書/卷79下.txt,
赵氏,814,全後漢文,卷七十九,少辟侍中，襲先公之爵，㠯議郎出爲濟陰太守。,data/raw/全後漢文/卷七十九.txt,
史岑,942,全後漢文,卷四十九,拜侍中，免。,data/raw/全後漢文/卷四十九.txt,
丁鴻,1486,東觀漢記,015,涕歎息乃還就國兼射聲校尉(案范書本傳明帝永平/十三年鴻以侍中兼此)¶,data/raw/東觀漢記/卷015.txt,
吳良,1494,東觀漢記,017,憲嗣爵乃徵愷拜為郎稍遷侍中愷之入朝在位者莫¶,data/raw/東觀漢記/卷017.txt,
李育,1497,東觀漢記,018,李育字元春(案范書本傳/育扶風漆人)為侍中時章帝西謁園陵育¶,data/raw/東觀漢記/卷018.txt,
顾雍,2,三國志,第七章:张顾诸葛步传,及登卒后，为侍中，拜羽林都督，平三典军事，迁扬武将军。,data/raw/mirror/三國志/吴书/第七章-张顾诸葛步传.txt,
顾雍,774,三國志,52,及登卒後，爲侍中，拜羽林都督，平三典軍事，遷揚武將軍。,data/raw/三國志/卷52.txt,
诸葛瑾,3,三國志,第七章:张顾诸葛步传,后为吴郡西部都尉，与诸葛恪等共平山越，别得精兵八千人，还屯军章坑，拜昭义中郎将，入为侍中。,data/raw/mirror/三國志/吴书/第七章-张顾诸葛步传.txt,
孙皓,7,三國志,第三章:三嗣主传,元兴元年八月，以上大将军施绩、大将军丁奉为左右大司马，张布为骠骑将军，加侍中，诸增位班赏，一皆如旧。,data/raw/mirror/三國志/吴书/第三章-三嗣主传.txt,
孙皓,770,三國志,48,【元興元年】八月，以上大將軍施績、大將軍丁奉爲左右大司馬，張布爲驃騎將軍，加侍中，諸增位班賞，一皆如舊。,data/raw/三國志/卷48.txt,
陈端,11,三國志,第八章:张严程阚薛传,玄子尚，孙皓时为侍郎，以言语辩捷见知，擢为侍中、中书令。,data/raw/mirror/三國志/吴书/第八章-张严程阚薛传.txt,
程秉,12,三國志,第八章:张严程阚薛传,嘉禾中，为中书令，加侍中。,data/raw/mirror/三國志/吴书/第八章-张严程阚薛传.txt,
是仪,14,三國志,第十七章:是仪胡综传,后从太子还建业，复拜侍中、中执法，平诸官事、领辞讼如旧。,data/raw/mirror/三國志/吴书/第十七章-是仪胡综传.txt,
刘繇,20,三國志,第四章:刘繇太史慈士燮传,繇兄岱，字公山，历位侍中，兖州刺史。,data/raw/mirror/三國志/吴书/第四章-刘繇太史慈士燮传.txt,
刘繇,773,三國志,49,）繇兄岱，字公山，歷位侍中，兗州刺史。,data/raw/三國志/卷49.txt,
马良,24,三國志,第九章:董刘马陈董吕传,先主称尊号，以良为侍中。,data/raw/mirror/三國志/蜀书/第九章-董刘马陈董吕传.txt,
马良,750,三國志,39,先主稱尊號，以良為侍中。,data/raw/三國志/卷39.txt,
董允,27,三國志,第九章:董刘马陈董吕传,“亮寻请祎为参军，允迁为侍中，领虎贲中郎将，统宿卫亲兵。,data/raw/mirror/三國志/蜀书/第九章-董刘马陈董吕传.txt,
董允,753,三國志,39,」亮尋請禕為參軍，允遷為侍中，領虎賁中郎將，統宿衛親兵。,data/raw/三國志/卷39.txt,
张飞,38,三國志,第六章:关张马黄赵传,弱冠为侍中、中监军，数岁卒。,data/raw/mirror/三國志/蜀书/第六章-关张马黄赵传.txt,
黄权,40,三國志,第十三章:黄李吕马王张传,且败军之将，免死为幸，何古人之可慕也”文帝善之，拜为镇南将军，封育阳侯，加侍中，使之陪乘。,data/raw/mirror/三國志/蜀书/第十三章-黄李吕马王张传.txt,
王粲,52,三國志,第二十一章:王卫二刘傅传,魏国既建，拜侍中。,data/raw/mirror/三國志/魏书/第二十一章-王卫二刘傅传.txt,
卫觊,54,三國志,第二十一章:王卫二刘傅传,魏国既建，拜侍中，与王粲并典制度。,data/raw/mirror/三國志/魏书/第二十一章-王卫二刘傅传.txt,
