id,name,style_name,dynasty,dynasty_primary,category,origin,birth,death,birth_year,death_year,year_precision,is_外戚,is_士人,is_降人,is_佞幸,is_宦官,is_勋贵,n_terms,n_sources,status
P0041,刘艾,阙,東漢,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0042,刘茂,阙,東漢,,勋贵,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0043,包咸,子良,東漢,,士人,会稽曲阿,前40?,28,,,,0,0,0,0,0,0,0,0,待审
P0044,华歆,子鱼,漢魏之際,,士人,平原高唐,157,232,,,,0,0,0,0,0,0,0,0,待审
P0045,单飏,武宣,東漢,,士人,山阳湖陆,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0046,卫伉,阙,西漢,,外戚/勋贵,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0047,卫臻,公振,魏,,士人,陈留襄邑,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0048,卫青,仲卿,西漢,,外戚/勋贵,河东平阳,前154,前106,,,,0,0,0,0,0,0,0,0,待审
P0049,台崇,阙,東漢,,其他,阙,阙,200,,,,0,0,0,0,0,0,0,0,待审
P0050,史丹,阙,西漢,,阙,阙,阙,阙,,,,0,0,0,0,0,0,0,0,草稿
P0051,史恃,阙,東漢,,阙,阙,阙,阙,,,,0,0,0,0,0,0,0,0,草稿
P0052,史高,阙,西漢,,外戚,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0053,向栩,甫兴,東漢,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0054,周举,阙,東漢,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0055,周广,阙,東漢,,其他,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0056,周毖,仲远,東漢,,士人,武威,阙,190,,,,0,0,0,0,0,0,0,0,待审
P0057,周泽,稚都,東漢,,士人,北海安丘,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0058,和峤,阙,漢魏之際,,阙,阙,阙,阙,,,,0,0,0,0,0,0,0,0,草稿
P0059,和洽,阳士,魏,,士人,汝南西平,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0060,和逌,阙,魏,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0061,孔昱,阙,東漢,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0062,孔永,阙,新,,其他,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0063,孔霸,次儒,西漢,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0064,孙峻,子远,吳,,其他,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0065,孙期,阙,東漢,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0066,孙綝,子通,吳,,其他,吴郡富春,231,258,,,,0,0,0,0,0,0,0,0,待审
P0067,孙邕,阙,魏,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0068,宋弘,仲子,西漢_東漢,,士人,京兆长安,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0069,宋登,叔阳,東漢,,士人,京兆长安,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0070,宗预,德艳,蜀漢,,士人,南阳安众,阙,264,,,,0,0,0,0,0,0,0,0,待审
P0071,宣秉,巨公,東漢,,士人,冯翊云阳,阙,30,,,,0,0,0,0,0,0,0,0,待审
P0072,寇荣,阙,東漢,,勋贵,上谷昌平,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0073,尹勋,伯元,東漢,,士人,河南巩,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0074,尹忠,阙,東漢,,其他,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0075,尹敏,阙,東漢,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
