term_id,person_id,name,dynasty_primary,start_ym,end_ym,start_year,end_year,nature,nature_primary,evidence,book,juan,quote_head
16097,P0160,种辑,,阙,阙,,,有明文,,有明文,三國志,卷十荀彧攸賈詡傳,攸與議郎鄭泰、何顒、侍中種輯、越騎校尉伍瓊等謀曰……
16098,P0161,窦宪,,阙,阙,,,有明文,,有明文,後漢書,卷23窦融传,和帝即位，太后臨朝，憲以侍中，內干機密，出宣誥命
16099,P0161,窦宪,,阙,阙,,,有明文,,有明文,後漢書,卷5孝和帝纪,以侍中竇憲爲車騎將軍，伐北匈奴
16100,P0161,窦宪,,阙,阙,,,有明文,,有明文,後漢書,卷23,皇后弟侍中竇憲，薦真定令張林爲尚書
16101,P0161,窦宪,,阙,阙,,,有明文,,有明文,後漢紀,卷13,竇憲、耿秉……銘燕然山而還。即拜憲爲大將軍
16102,P0162,窦机,,阙,阙,,,有明文,,有明文,後漢書,卷99窦何传,子機渭陽侯拜侍中
16103,P0163,耿承,,阙,阙,,,有明文,,有明文,後漢書,卷49耿弇传,寶弟子承襲公主爵爲林慮侯，位至侍中
16104,P0164,耿箕,,阙,阙,,,有明文,,有明文,後漢書,卷49,順帝遂紹封寶子箕牟平侯，爲侍中
16105,P0165,耿纪,,阙,阙,,,有明文,,有明文,三國志,卷23和常杨杜赵裴傳,後至許，見侍中耿紀，語終夜
16106,P0165,耿纪,,阙,阙,,,有明文,,有明文,後漢書,卷19耿弇传,侍中耿紀與丞相司直韋晃等起兵誅操
16107,P0166,苏武,,阙,阙,,,有明文,,有明文,漢書,卷54李广苏建传,初，武與李陵俱爲侍中，武使匈奴明年，陵降，不敢求武
16108,P0167,荀勖,,阙,阙,,,有明文,,有明文,三國志,第五章:诸葛亮传,臣寿等言：臣前在著作郎，侍中领中书监济北侯臣荀勖、中书令关内侯臣和峤奏，使臣定故蜀丞相诸葛亮故事
16109,P0167,荀勖,,阙,阙,,,有明文,,有明文,三國志,35,臣壽等言：臣前在著作郎，侍中領中書監濟北侯臣荀勖、中書令關內侯臣和嶠奏：使臣定故蜀丞相諸葛亮故事
16110,P0168,荀悦,,阙,阙,,,有明文,,有明文,後漢紀,029,封操萬三千戶平幽兾之功也八月侍中荀悅撰政¶
16111,P0169,荀顗,,阙,阙,,,有明文,,有明文,三國志,卷10荀彧攸贾诩傳,帝宴羣臣於太極東堂，與侍中荀顗……講述禮典
16112,P0169,荀顗,,阙,阙,,,有明文,,有明文,三國志,卷10,武帝使侍中荀顗、和嶠俱至東宮，觀察太子
16113,P0170,萧育,,阙,阙,,,有明文,,有明文,後漢書,卷109儒林下,歲餘復徵，再遷侍中，卒於官
16114,P0171,董允,,阙,阙,,,有明文,,有明文,三國志,卷39董刘马陈董吕传,允遷爲侍中，領虎賁中郎將，統宿衛親兵
16115,P0171,董允,,阙,阙,,,有明文,,有明文,三國志,卷39,侍中郭攸之、費禕、侍郎董允等，先帝簡拔以遺陛下
16116,P0172,董贤,,阙,阙,,,有明文,,有明文,漢書,卷93佞幸传,賢寵愛日甚，爲駙馬都尉侍中，出則參乘，入御左右
16117,P0172,董贤,,阙,阙,,,有明文,,有明文,漢書,卷13五行志,後侍中董賢年二十二爲大司馬，居上公之位，天下不宗
16118,P0172,董贤,,阙,阙,,,有明文,,有明文,漢書,卷86,侍中董賢愛幸於上，上欲侯之而未有所緣
16119,P0173,蔡玄,,阙,阙,,,有明文,,有明文,後漢書,第七十五章:儒林列传下,迁侍中，出为弘农太守，卒官
16120,P0173,蔡玄,,阙,阙,,,有明文,,有明文,後漢書,79下,遷侍中，出為弘農太守，卒官
16121,P0174,蔡茂,,阙,阙,,,有明文,,有明文,後漢書,卷56伏侯宋蔡冯赵牟韦传,哀、平間以儒學顯……遷侍中
16122,P0174,蔡茂,,阙,阙,,,有明文,,有明文,後漢書,卷56,蔡茂字子禮，河內懷人也
16123,P0175,蔡邕,,阙,阙,,,有明文,,有明文,三國志,06,卓怒，罷坐，欲誅植，侍中蔡邕勸之，得免
