id,name,dynasty_primary,category,is_外戚,is_士人,is_降人,is_佞幸,is_宦官,is_勋贵,n_terms,n_sources,status
P0184,谢弼,东汉,士人,0,0,0,0,0,0,1,1,已校
P0185,谢惲,东汉,阙,0,0,0,0,0,0,1,1,已校
P0186,谢笃,东汉,外戚,0,0,0,0,0,0,1,1,已校
P0187,费祎,蜀汉,士人,0,0,0,0,0,0,1,1,已校
P0188,贺纯,东汉,阙,0,0,0,0,0,0,1,1,已校
P0189,贾复,东汉,勋贵,0,0,0,0,0,0,1,1,已校
P0190,贾建,东汉,外戚,0,0,0,0,0,0,1,1,已校
P0191,贾彪,东汉,士人,0,0,0,0,0,0,1,1,已校
P0192,贾逵,东汉,士人,0,0,0,0,0,0,1,1,已校
P0193,赵代,东汉,士人,0,0,0,0,0,0,1,1,已校
P0194,赵典,东汉,士人,0,0,0,0,0,0,1,1,已校
P0195,赵孝,东汉,士人,0,0,0,0,0,0,1,1,已校
P0196,赵憙,东汉,勋贵,0,0,0,0,0,0,1,1,已校
P0197,赵苞,东汉,士人,0,0,0,0,0,0,1,1,已校
P0198,邓义,东汉,阙,0,0,0,0,0,0,1,1,已校
P0199,邓叠,东汉,外戚,0,0,0,0,0,0,1,1,已校
P0200,邓干,东汉,外戚,0,0,0,0,0,0,1,1,已校
P0201,邓建,东汉,外戚,0,0,0,0,0,0,1,1,已校
P0202,邓弘,东汉,外戚,0,0,0,0,0,0,1,1,已校
P0203,邓蕃,东汉,外戚,0,0,0,0,0,0,1,1,已校
P0204,邓阊,东汉,外戚,0,0,0,0,0,0,1,0,已校
P0205,邓骘,东汉,外戚,0,0,0,0,0,0,1,1,已校
P0206,郑业,西汉,阙,0,0,0,0,0,0,1,0,已校
P0207,郑均,东汉,士人,0,0,0,0,0,0,1,0,已校
P0208,郑小同,魏,士人,0,0,0,0,0,0,1,1,已校
P0209,郑弘,东汉,士人,0,0,0,0,0,0,1,0,已校
P0210,郑文信,汉魏之际,阙,0,0,0,0,0,0,1,1,已校
P0211,郑玄,东汉,士人,0,0,0,0,0,0,1,0,已校
P0212,郑称,汉魏之际,士人,0,0,0,0,0,0,1,1,已校
P0213,郗虑,东汉,阙,0,0,0,0,0,0,1,1,已校
P0214,郤巡,东汉,士人,0,0,0,0,0,0,1,1,已校
P0215,郭举,东汉,外戚,0,0,0,0,0,0,1,1,已校
P0216,郭攸之,蜀汉,士人,0,0,0,0,0,0,1,1,已校
P0217,郭昌,东汉,阙,0,0,0,0,0,0,1,1,已校
P0218,金安上,西汉,降人,0,0,0,0,0,0,1,1,已校
P0219,金敞,西汉,降人,0,0,0,0,0,0,1,1,已校
P0220,金日磾,西汉,降人,0,0,0,0,0,0,1,1,已校
P0221,金汤,西汉,降人,0,0,0,0,0,0,1,1,已校
P0222,金涉,西汉,降人,0,0,0,0,0,0,1,1,已校
P0223,金融,西汉,降人,0,0,0,0,0,0,1,0,已校
P0224,金赏,西汉,阙,0,0,0,0,0,0,1,1,已校
P0225,金迁,东汉,阙,0,0,0,0,0,0,1,1,已校
P0226,钟兴,东汉,士人,0,0,0,0,0,0,1,0,已校
P0227,钟繇,汉魏之际,士人,0,0,0,0,0,0,1,1,已校
P0228,闾丘弘,东汉,士人,0,0,0,0,0,0,1,1,已校
P0229,阎畅,东汉,外戚,0,0,0,0,0,0,1,1,已校
P0230,阚泽,吴,士人,0,0,0,0,0,0,1,1,已校
